reach,PFOS,PFOA,PFHxS,PFBS,PFHxA
805,0.9308026769634763,0.8174576856434762,0.8093777904056171,0.7181193854175867,0.4575284191672176
806,0.913191518274547,0.831994296909699,0.825332695609787,0.7502193041931202,0.5133261583292082
807,0.9307949769426104,0.8121575347543708,0.8031045916975421,0.7006503854791789,0.43455597837071747
808,0.9188535582273589,0.8036834929867699,0.7944175693064461,0.6855328313371105,0.37512089165676343
809,0.9222977697681285,0.8089779698109595,0.7998116159823667,0.694883707613561,0.41811392467831565
810,0.9185232861299346,0.7755590525993413,0.7637634470630811,0.6294071737641515,0.3286444185461816
811,0.9329959745979072,0.8186314582040307,0.8100595991408263,0.7165810626643161,0.4627875538933945
812,0.9150384594645266,0.8084616778537967,0.7999093962147841,0.698227944176989,0.38100561529875754
813,0.9187499742458057,0.834609282691613,0.8272806719028929,0.7441034940963926,0.4995806639017286
814,0.9218742499068459,0.8141674094981871,0.8059647056598299,0.7171216243204255,0.4867758903622806
815,0.9285411730143964,0.8305476107600508,0.8232723140823834,0.7409841932793785,0.46390061515307707
816,0.8995182531548098,0.7978224418535409,0.7899577310005961,0.7024796110053649,0.46105226036134905
817,0.9459793898834026,0.8355632517316084,0.8264448631497462,0.7236433312471483,0.4782925392120799
818,0.9274452554342786,0.8646034018711927,0.8587225405384239,0.7910457789531604,0.5776107374976516
819,0.9308027262218364,0.8174577987897421,0.8093779085169541,0.7181195649039501,0.45752866356270433
820,0.9131915728936219,0.8319944572670243,0.8253328641940489,0.7502195611941589,0.5133266652210996
821,0.9199904376504785,0.8041684155406693,0.7949784894730251,0.6873419944621022,0.3788620804752476
822,0.9215457451575191,0.8059197130848259,0.7966263789434584,0.6910894596848982,0.4183413039723753
823,0.9185233042415106,0.7755591277912812,0.7637635250297997,0.6294072788757838,0.3286445387266784
824,0.9344663994766473,0.8213456817920165,0.8128466562903426,0.7203998735050573,0.47024168783462156
825,0.9144358899610594,0.8085654250353507,0.8000103031680904,0.6983308111245294,0.3837406534036327
826,0.9175396895939381,0.8333715334109897,0.8260709989953433,0.7432269571754412,0.4993708984277375
827,0.9218742579019447,0.814167433524227,0.8059647306183864,0.717121659088649,0.4867759399731709
828,0.9284808045998367,0.8305520942377183,0.8232745828237085,0.7409714618859988,0.46421177041180056
829,0.8929432242425667,0.7934577164206634,0.7859430347734455,0.702745129892653,0.47309502997908
830,0.9450412474152982,0.8348155343977939,0.825735111161924,0.7234853542924141,0.47914251704374017
