reach,gwf_q_m3d
1176,-982.2083494891541
1177,-607.4898721298026
1178,1006.326808302794
1179,2591.082953368886
1180,383.8528190479062
1181,457.35409243965944
1182,-2635.6902134623997
1183,2534.950547645282
1184,-638.19564927637
1185,2034.9819560634207
1186,810.9564370601446
1187,-954.3258579737445
1188,-1425.0602087247398
1189,1186.3166843230943
1190,2260.2629756191195
1191,-956.4748475456172
1192,-500.0018374941602
1193,1080.363662143218
1194,-2436.677698540617
1195,-1487.008874702886
1196,-7.38668827356186
1197,3776.098327318403
1198,1444.8194335416456
1199,1140.2785147159746
1200,-229.39771575887025
1201,3132.5542787231598
1202,2113.4951651325746
1203,2381.39601609601
1204,-752.5377342292701
1205,158.7311832050371
1206,424.6004919328555
1207,948.8733685679646
1208,203.66370186134603
1209,37.66043611988523
1210,1723.438423255214
1211,-3315.9712569490325
1212,-191.97733462321065
1213,316.09029779706015
1214,2143.5249651552385
1215,1966.2134431237782
1216,-1724.6509225675743
1217,527.4970522511235
1218,-1387.0316226880232
1219,222.09121873450977
1220,4199.221803293371
1221,207.25857425097703
1222,-2031.930016460849
1223,839.5797050289773
1224,-2901.2422774660845
1225,1138.3075889211616
1226,-20.869206717277407
1227,1951.782510149947
1228,4008.841226819096
1229,-439.8316962688054
1230,1974.8836868145472
1231,-3823.1595879933993
1232,3555.461078743931
1233,2265.42240951426
1234,-3284.168665120244
1235,651.5225096071268
1236,862.4019290735233
1237,1830.4148829696444
1238,-1457.5547295730696
1239,-1056.6719836573943
1240,1592.1677150121643
1241,3334.2594234883836
1242,778.6879600011584
1243,2589.5283743577193
1244,2704.2882496180623
1245,-3874.184954630483
1246,-2195.137343565589
1247,4601.835521036777
1248,3018.897569474778
1249,-1646.5547152140418
1250,-1857.9901156073108
1251,-770.229964778891
1252,-1077.0484861634568
1253,1000.7465154384543
1254,2497.5071399647977
1255,-1590.726438720648
1256,1822.202221339671
1257,-1722.3206142651204
1258,-1935.4197129222912
1259,847.937010341924
1260,-392.48921422458443
1261,1100.5573184347627
1262,1344.4505474601954
1263,304.8988981133903
1264,460.3366648994627
1265,1984.2364194188692
1266,19.281220150651333
1267,36.06098710623703
1268,557.405530530172
1269,441.73306525991717
1270,-1014.1742643950051
1271,878.5916862436429
1272,-19.172465420568543
1273,893.0997331057307
1274,232.88524097924008
1275,955.0894000545035
1276,-29.83558957900089
1277,634.5753039881932
1278,1541.9144913187195
1279,-1017.1225711497559
1280,794.8200401112283
1281,1098.4358392450715
1282,-1185.3630913721884
1283,1790.6498072041948
1284,14.783366069342156
1285,-846.5745392348935
1286,145.94494897091735
1287,1054.5386109430472
1288,1093.4359877139486
1289,-1075.7097340169398
1290,-733.5829641810058
1291,971.8895412008214
1292,1804.8622714182877
1293,-101.17875181934977
1294,841.4620510119154
1295,927.1722240802112
1296,269.8385136272531
1297,-3873.230840621873
1298,-56.38306410670392
1299,1759.874907504815
1300,1349.0884802400149
1301,991.7098665682674
1302,964.6163984137356
1303,1471.5671564138727
1304,1510.8627788149718
1305,-124.8013621888675
1306,545.4625582197576
1307,569.574522288169
1308,867.1860678571928
1309,667.9764986562237
1310,1108.3335018040834
1311,1706.999385029482
1312,378.7457100639026
1313,351.5910856810741
1314,-1072.5241198465892
1315,925.8042439459103
