site_no,vpuid,nested_usable_gauges,basin_huc12s,drainage_km2
08407500,1306,82,491,50151.5
10347336,1605,81,28,2582.6
09306880,1405,81,143,12962.6
09306900,1405,81,143,12962.6
09367580,1408,81,244,21303.7
07190100,1107,81,266,28478.6
07190500,1107,81,266,28478.6
06926510,1029,81,371,37923.2
09367540,1408,80,242,21093.4
06171500,1005,80,278,28921.1
06172000,1005,80,278,28921.1
06891080,1027,80,363,35717.2
06926500,1029,80,370,37834.6
08403500,1306,80,462,47226.9
08404000,1306,80,462,47226.9
11250000,1804,79,42,4386.9
11250110,1804,79,42,4386.9
11251000,1804,79,42,4386.9
09302000,1406,79,127,9947.9
12509050,1703,79,136,14034.6
12509060,1703,79,136,14034.6
11521000,1801,79,191,18034.8
06636000,1018,79,174,18450.9
06891000,1027,79,361,35469.8
10345700,1605,78,26,2457.8
10345900,1605,78,26,2457.8
10346000,1605,78,26,2457.8
10346001,1605,78,26,2457.8
13170700,1705,78,166,14135.1
13170800,1705,78,166,14135.1
13170900,1705,78,166,14135.1
13171000,1705,78,166,14135.1
11520500,1801,78,188,17762.8
06259000,1008,78,180,19958.4
08402000,1306,78,460,47033.2
11417970,1802,77,34,3129.5
11417980,1802,77,34,3129.5
11418000,1802,77,34,3129.5
11419000,1802,77,34,3129.5
12197020,1711,77,85,7815.1
12197040,1711,77,85,7815.1
12197110,1711,77,85,7815.1
12197680,1711,77,85,7815.1
12197690,1711,77,85,7815.1
12197700,1711,77,85,7815.1
12198000,1711,77,85,7815.1
12198500,1711,77,85,7815.1
12508670,1703,77,135,13875.0
12508694,1703,77,135,13875.0
12508850,1703,77,135,13875.0
12508990,1703,77,135,13892.4
09365000,1408,77,238,20595.9
07252406,1111,77,278,22601.6
06926080,1029,77,357,36484.9
08401000,1306,77,458,46831.7
08401100,1306,77,458,46831.7
08401500,1306,77,458,46831.7
14184100,1709,76,68,4672.1
14189000,1709,76,68,4672.1
14189050,1709,76,68,4672.1
11447830,1802,76,75,6974.5
11447850,1802,76,75,6974.5
11455095,1802,76,75,6974.5
11455139,1802,76,75,6974.5
11455140,1802,76,75,6974.5
11455143,1802,76,75,6974.5
11455146,1802,76,75,6974.5
11455165,1802,76,75,6974.5
11455167,1802,76,75,6974.5
11455276,1802,76,75,6974.5
11455278,1802,76,75,6974.5
11455280,1802,76,75,6974.5
11455315,1802,76,75,6974.5
11455335,1802,76,75,6974.5
11455350,1802,76,75,6974.5
11455385,1802,76,75,6974.5
382006121401601,1802,76,75,6974.5
382010121402301,1802,76,75,6974.5
383019121350701,1802,76,75,6974.5
06935997,1030,76,293,26781.8
06936530,1030,76,293,26781.8
06926000,1029,76,355,36375.2
09520900,1503,76,453,41997.4
09521000,1503,76,453,41997.4
09522600,1503,76,453,41997.4
09522650,1503,76,453,41997.4
09525503,1503,76,453,41997.4
09528600,1503,76,453,41997.4
09528800,1503,76,453,41997.4
09529000,1503,76,453,41997.4
09529400,1503,76,453,41997.4
09529420,1503,76,453,41997.4
09529440,1503,76,453,41997.4
09429600,1503,76,453,41997.4
07145600,1103,76,364,41999.1
11246700,1804,75,40,4245.0
11246950,1804,75,40,4245.0
11247000,1804,75,40,4245.0
11247050,1804,75,40,4245.0
11249500,1804,75,40,4245.0
11364800,1802,75,133,12085.3
11365000,1802,75,133,12085.3
13037500,1704,75,151,14957.7
